Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
AB01 2009.9165         0.300        -1.181         1.419   1.432   1.056   4.157
AB01 2013.6646        -9.302        -3.829         1.889   1.431   1.067   4.154
AB01 2014.1793        -5.597         1.130         1.100   1.420   1.058   4.127
AB01 2016.2272       -13.331         4.711         4.086   1.398   1.023   4.061
AB02 2009.3662        -7.290         6.554         1.218   1.341   0.965   3.842
AB02 2010.5462        10.788        17.049         0.394   1.202   0.864   3.439
AB02 2015.6085       -10.123        -0.433        -2.407   1.132   0.802   3.220
AB02 2016.7089        -4.521        -0.134         4.832   1.097   0.771   3.118
AB04 2018.7625         3.833        -3.326         0.817   1.156   0.799   3.655
AB06 2009.5578        -4.625         3.145         1.428   0.971   0.722   2.845
AB07 2011.4771        -7.076         0.932        -3.050   0.838   0.601   2.368
AB07 2014.0370        -1.844        -0.814        -3.603   0.825   0.590   2.334
AB08 2009.9192         5.967         6.779        -0.751   2.202   1.562   6.542
AB08 2010.5902         1.624        -5.799         3.029   1.727   1.240   5.138
AB08 2012.0082         2.712        -4.947         2.624   1.290   0.918   3.721
AB08 2016.8980        -1.118         8.562         1.308   1.272   0.879   3.766
AB08 2018.7159        -2.985         8.888         0.739   1.822   1.278   5.428
AB08 2018.9979         2.199         5.440         0.316   1.981   1.391   5.923
AB08 2019.7509        -6.725         5.260         2.271   1.756   1.223   5.293
AB11 2010.8857        52.001        -3.676        -1.731   2.506   1.912   8.165
AB11 2011.0308       -55.244         5.370        -3.474   3.047   2.291   9.767
AB11 2011.2443         0.466        -0.470         2.636   1.881   1.366   5.809
AB11 2019.1047        29.628        -5.968        10.662   2.353   1.664   7.746
AB11 2019.2553       -29.612         6.335       -14.272   3.687   2.590  11.922
AB12 2011.9179        23.727        -9.621        28.346   1.627   1.163   4.757
AB12 2012.2929       -19.674         7.121       -20.291   1.624   1.161   4.757
AB12 2017.9329         4.100       -34.337        82.639   2.314   1.631   7.036
AB12 2018.1793        65.899        20.756        14.068   3.603   2.445  10.989
AB12 2018.3958       -62.677         8.234       -89.604   3.031   2.021   9.186
AB12 2019.0363        22.125       -20.565        46.341   2.962   2.104   8.790
AB13 2015.8302         3.170         1.475        -3.765   0.863   0.601   2.482
AB13 2018.0643         3.076        -5.927         0.724   0.936   0.644   2.703
AB14 2017.9658         4.568         7.613         6.292   2.571   1.786   7.519
AB14 2018.0862         0.692       -13.665        -7.452   2.709   1.883   7.929
AB14 2018.8610        -0.633        -2.000         2.985   2.164   1.508   6.258
AB14 2019.0910         9.524        -7.616        29.830   3.068   2.140   9.188
AB14 2019.2579        -7.316         8.057       -29.759   2.556   1.787   7.790
AB15 2013.4483         0.359        -2.905         2.376   1.070   0.733   3.076
AB15 2018.0616         3.910        -3.898         0.831   1.036   0.695   3.052
AB17 2010.4832         0.743        -5.194        -0.995   1.145   0.811   3.605
AB17 2013.4483         2.022        -5.166         0.541   1.007   0.718   3.132
AB17 2019.8083         1.027         3.057         4.988   1.581   1.113   5.027
AB18 2007.9343         9.992        10.403        -3.743   1.542   1.150   5.279
AB18 2008.4244        -8.335       -14.042         2.180   1.486   1.104   5.100
AB18 2009.7112        -1.595         8.163        -0.070   1.187   0.874   4.032
AB18 2010.7652         0.618         4.994        -1.443   1.124   0.835   3.775
AB18 2011.8905         6.432        14.167        -0.714   1.374   1.036   4.588
AB18 2012.4079        -3.189       -11.269         0.591   1.311   0.988   4.380
AB21 2008.2984         4.158        -0.501         3.492   1.060   0.765   2.997
AB21 2013.7168        -4.236         9.928         1.209   1.459   1.053   4.112
AB22 2009.5414        -4.396         1.538         3.623   1.028   0.714   3.078
AB22 2013.4757        -1.286        -3.338         3.374   1.104   0.772   3.278
AB22 2018.0616         6.588        -7.099         0.184   1.051   0.724   3.180
AB22 2019.5400         2.619        -3.525         5.510   1.387   0.964   4.223
AB27 2018.6858         2.047         0.900         2.682   0.875   0.629   2.954
AB28 2009.5058        -4.197        -0.457         6.223   1.105   0.783   3.283
