ID	N	E	U
ABMF	1.700	1.700	6.000
ABPO	1.400	1.700	4.300
ADE1	1.600	1.500	5.300
AIRA	2.200	2.200	7.000
ALBH	1.800	2.300	4.800
ALGO	2.400	2.600	6.100
ALIC	1.500	1.500	5.000
ALRT	2.300	2.600	5.900
AMC2	1.500	1.600	4.500
ANKR	1.700	1.700	4.700
AOML	1.900	2.100	6.400
AREQ	2.200	2.400	4.300
AREV	1.400	1.300	3.500
ARTU	1.500	1.500	6.200
ASC1	2.700	3.300	7.400
ASPA	2.800	2.700	8.100
AUCK	1.700	1.900	4.700
BADG	1.500	1.100	5.200
BAHR	1.900	1.900	4.600
BAKE	1.800	1.900	5.900
BAN2	1.800	2.300	6.600
BARH	1.600	1.500	5.000
BHR1	1.800	1.800	4.400
BHR2	1.200	1.200	3.800
BILI	1.600	1.500	6.100
BJCO	1.400	1.400	10.900
BJFS	1.600	1.500	4.700
BOGT	3.100	3.100	17.700
BOR1	1.600	1.500	4.900
BRAZ	2.100	2.200	6.100
BREW	1.400	1.500	4.500
BRFT	1.900	1.500	4.500
BRMU	2.000	2.200	5.000
BRST	1.700	1.800	4.100
BRUS	1.800	1.900	4.400
BUCU	1.400	1.500	5.200
BUE2	2.100	1.900	6.200
CAGL	1.700	2.100	5.100
CAGZ	1.600	1.800	5.100
CAS1	2.100	1.700	5.000
CCJM	2.400	2.800	7.200
CEDU	1.600	1.500	4.800
CFAG	2.400	2.300	5.100
CHAT	1.900	2.100	5.400
CHPI	1.700	1.600	5.200
CHTI	1.600	1.400	4.500
CHUM	1.900	1.600	5.700
CHUR	2.500	2.700	5.800
CIC1	1.500	1.900	4.600
CKIS	2.100	2.500	7.300
CNMR	2.200	2.500	6.700
COCO	1.900	1.900	5.400
COYQ	2.600	2.500	5.400
CRAO	2.300	1.900	6.700
CRO1	1.800	2.000	6.500
DAEJ	1.800	2.000	6.500
DARW	2.400	2.200	5.900
DAV1	1.900	1.800	4.700
DGAR	1.900	2.300	5.700
DGAV	1.600	1.700	5.300
DRAG	1.300	1.600	5.000
DRAO	1.900	2.000	5.200
DUBO	2.400	2.000	6.400
DUBR	2.000	1.900	5.000
DUM1	3.100	3.200	5.900
EISL	3.800	5.000	11.900
EPRT	1.400	1.400	4.800
FAA1	2.000	2.200	6.600
FAIR	2.500	3.000	8.400
FALK	2.000	1.400	4.500
FLIN	2.300	1.800	7.900
FORT	3.600	4.500	11.300
FUNC	2.200	1.900	6.400
GALA	2.400	2.600	6.500
GLPS	1.600	1.500	4.000
GLSV	1.900	1.800	5.900
GMAS	1.400	1.500	4.500
GMSD	1.900	2.200	7.200
GODE	1.600	1.600	5.700
GODZ	1.500	1.400	5.700
GOL2	1.900	2.200	5.100
GOLD	2.200	2.500	6.400
GOUG	3.600	4.300	9.500
GRAS	1.800	1.900	4.300
GRAZ	2.100	2.100	5.800
GUAM	2.700	2.900	8.600
GUAO	1.400	1.200	4.300
GUAT	2.100	2.100	5.800
GUUG	1.900	2.200	6.100
HARB	1.700	1.800	4.700
HERS	2.700	2.900	12.400
HERT	2.000	2.200	4.300
HLFX	1.600	1.600	5.200
HNLC	2.500	2.600	7.200
HOB2	2.000	2.300	5.100
HOFN	1.600	1.500	5.200
HOLB	2.100	2.100	6.000
HOLM	2.200	1.800	5.200
HRAO	1.900	2.000	5.200
HYDE	1.500	1.600	4.600
IISC	1.900	2.400	5.500
INVK	2.600	2.300	9.400
IRKJ	1.800	1.300	5.700
IRKM	2.300	2.300	5.500
IRKT	2.600	2.500	6.200
ISPA	2.200	2.200	6.600
ISTA	1.600	1.500	5.100
JAB1	2.400	1.900	6.300
JOZ2	1.500	1.500	5.200
JOZE	1.900	1.900	6.500
JPLM	2.300	2.300	8.100
KARR	1.600	1.600	4.600
KAT1	1.400	1.600	4.700
KELY	1.500	1.400	4.600
KERG	2.800	2.500	6.600
KGNI	1.700	2.400	6.300
KHAJ	1.700	1.300	5.400
KIRI	1.900	1.900	6.200
KIRU	2.500	2.400	10.300
KIT3	2.500	2.700	7.500
KOKB	2.300	2.800	6.700
KOKV	1.700	2.100	5.200
KOSG	2.400	2.400	5.200
KOUC	2.100	2.600	7.100
KOUR	2.600	2.900	9.300
KUNM	2.000	2.100	6.200
KWJ1	3.000	3.400	9.700
LAE1	2.300	2.800	6.900
LAUT	1.700	2.100	5.600
LHAS	2.500	2.500	5.300
LHAZ	1.500	1.400	4.500
LMMF	1.800	2.400	7.200
LPAL	1.700	1.600	4.400
LPGS	2.500	2.400	11.200
LROC	1.300	1.400	3.700
MAC1	2.100	2.100	5.400
MAL2	1.500	1.600	4.400
MALD	2.700	4.500	9.600
MALI	2.600	3.600	9.200
MANA	2.000	2.000	6.300
MAS1	1.600	1.800	4.500
MAT1	1.600	1.500	7.400
MATE	1.900	1.900	5.100
MAUI	1.900	2.100	4.600
MAW1	2.100	1.900	4.300
MBAR	1.600	1.800	4.700
MCIL	1.700	1.400	4.700
MCM4	1.600	1.700	6.200
MDO1	2.200	2.200	5.900
MDVJ	1.700	1.700	7.900
MDVO	2.200	2.200	7.500
MEDI	2.600	3.600	8.200
METS	2.100	2.000	5.600
METZ	2.000	1.900	5.500
MKEA	2.200	2.100	5.500
MOBS	1.600	1.400	4.000
MONP	1.700	2.100	4.600
MORP	3.400	2.500	6.800
MQZG	1.800	1.700	4.500
MTKA	1.800	2.700	4.900
NAIN	1.900	1.600	4.800
NAMA	1.400	1.400	4.000
NANO	1.700	1.800	4.600
NAUR	1.900	1.800	5.200
NICO	1.500	1.500	4.800
NIUM	1.700	2.100	5.400
NKLG	1.700	1.700	5.300
NLIB	2.000	1.800	6.500
NNOR	1.300	1.300	4.600
NOT1	1.600	2.200	7.900
NOUM	1.900	2.200	5.500
NRC1	3.000	2.400	6.500
NRIL	1.600	1.200	6.100
NRMD	1.600	1.800	6.500
NURK	1.400	1.700	5.200
NVSK	3.200	2.900	12.500
NYA1	1.300	1.400	5.600
NYAL	1.600	1.600	6.100
OHI2	3.300	3.000	10.100
OHI3	4.200	3.400	11.400
OHIG	4.000	3.700	8.700
ONSA	1.700	1.800	5.100
OSN1	1.600	1.400	4.400
OUS2	2.000	2.100	4.800
PALM	2.400	1.700	6.100
PARC	2.300	2.800	7.200
PDEL	2.300	1.800	5.600
PERT	2.000	2.500	5.500
PETP	2.500	2.600	5.700
PIE1	1.600	1.900	4.400
PIMO	2.000	2.100	7.200
POHN	2.500	2.800	8.500
POL2	1.800	1.600	4.900
POLV	1.600	1.400	5.700
POTS	1.700	1.700	5.500
PRDS	2.100	1.800	5.400
PRE1	1.900	2.100	5.100
QAQ1	1.300	1.100	4.000
QIKI	2.300	3.000	4.700
QUI2	1.400	1.400	4.100
QUIN	2.300	2.400	6.700
RABT	1.200	1.400	4.000
RAMO	1.500	2.000	4.500
RBAY	1.700	2.000	5.600
RCMN	1.400	1.500	4.300
RECF	1.600	1.700	5.200
RESO	3.300	2.900	5.500
REUN	1.800	2.000	6.600
RIGA	1.600	1.500	5.700
RIO2	1.800	1.400	4.400
RIOG	2.400	1.900	5.100
SALU	1.500	1.700	5.200
SANT	2.900	3.800	6.000
SAVO	1.700	1.600	4.800
SCH2	3.200	3.400	6.800
SCOR	1.600	1.500	4.600
SCUB	2.300	2.300	6.800
SELE	2.000	1.900	6.300
SFER	2.800	2.200	5.900
SHAO	2.000	2.100	5.100
SIMO	2.400	2.500	6.300
SOFI	2.100	2.800	6.900
SSIA	2.300	1.900	5.500
STHL	1.500	1.900	4.900
STJO	2.000	2.200	5.700
SUTH	2.200	2.500	4.400
SUTM	1.600	1.700	4.200
SUWN	1.600	1.700	4.800
SYDN	1.500	1.500	5.000
SYOG	1.900	1.900	4.900
TAEJ	2.200	2.400	5.700
TAH1	2.100	2.500	7.400
TASH	2.000	1.900	6.200
TCMS	1.600	1.700	4.700
TEHN	1.700	1.800	4.700
THTI	2.200	2.500	7.700
THU1	1.900	2.100	6.300
THU3	1.300	0.900	4.800
TID1	1.700	2.200	5.100
TIDB	2.300	3.100	6.000
TIXI	2.000	1.700	6.300
TLSE	1.300	1.200	4.300
TNML	1.600	1.700	4.700
TOW2	2.000	2.100	5.600
TRAB	1.400	1.500	5.100
TRO1	1.800	2.000	5.400
TROM	3.500	3.000	5.700
TSKB	2.200	3.500	5.400
TUVA	1.800	2.100	6.000
TWTF	2.800	2.100	5.000
UFPR	1.700	1.500	4.700
ULAB	1.900	1.900	5.800
UNBJ	1.500	1.400	5.700
UNSA	2.400	2.200	6.000
URUM	2.100	2.100	5.900
USN3	1.400	1.400	5.200
USNO	1.700	1.600	5.700
UZHL	1.900	1.800	6.700
VACS	1.600	2.000	6.200
VESL	1.800	1.700	5.000
VILL	1.500	1.600	4.600
VNDP	2.600	2.400	7.700
WES2	2.200	2.500	6.600
WHIT	2.800	2.500	5.700
WILL	1.600	1.600	5.100
WIND	1.500	1.500	3.800
WSRT	1.300	1.400	4.700
WTZR	1.600	1.600	5.100
WUHN	2.200	2.000	7.000
XMIS	2.700	3.300	9.600
YAKT	3.800	4.000	8.200
YAR1	4.200	4.900	9.600
YAR2	1.400	1.500	4.100
YARR	1.300	1.300	3.900
YEBE	1.300	1.400	4.100
YELL	2.400	2.500	6.900
YIBL	1.400	1.500	4.100
ZAMB	1.600	1.700	4.700
ZECK	1.500	1.500	5.100
ZIMJ	1.600	1.800	5.100
ZIMM	1.900	1.900	4.600
